,Bin #,Score,Bins,Threshold,High Risk Ratio,Accuracy
0,Bin 1,5500.772807492196,"['P_5', 'P_4', 'P_2', 'P_8', 'P_6', 'P_10']",0,0.4984,0.9984
1,Bin 2,5497.678139946757,"['P_10', 'P_5', 'P_6', 'P_2', 'P_3', 'P_1', 'P_4']",0,0.5,1.0
2,Bin 3,5497.678139946757,"['P_1', 'P_5', 'P_4', 'R_66', 'P_8', 'P_2', 'P_6', 'P_3', 'P_9']",1,0.5,1.0
3,Bin 4,5497.678139946757,"['P_10', 'P_5', 'P_2', 'P_3', 'P_1', 'P_4', 'P_8']",0,0.5,1.0
4,Bin 5,5497.678139946757,"['P_8', 'P_1', 'P_10', 'P_2', 'P_3', 'P_9', 'P_4', 'P_5']",0,0.5,1.0
5,Bin 6,5497.678139946757,"['P_1', 'P_10', 'P_2', 'P_3', 'P_9', 'P_4', 'P_5']",0,0.5,1.0
6,Bin 7,5497.678139946757,"['P_4', 'P_8', 'P_7', 'P_1', 'P_10', 'P_2', 'P_9', 'P_3']",0,0.5,1.0
7,Bin 8,5497.678139946757,"['P_10', 'P_2', 'P_1', 'P_4', 'P_8', 'P_6', 'P_3']",0,0.5,1.0
8,Bin 9,5497.678139946757,"['P_2', 'P_1', 'P_4', 'R_1', 'P_8', 'P_6', 'P_7', 'P_3', 'P_10']",1,0.5,1.0
9,Bin 10,5497.678139946757,"['P_1', 'P_2', 'P_9', 'P_5', 'P_7', 'P_10', 'P_3']",0,0.5,1.0
10,Bin 11,5492.758084600165,"['P_5', 'P_2', 'P_8', 'P_6', 'P_9', 'P_4']",0,0.498,0.998
11,Bin 12,5489.912612199462,"['P_8', 'P_1', 'P_2', 'P_9', 'P_4', 'P_5']",0,0.4977,0.9977
12,Bin 13,5482.853099386717,"['P_10', 'P_2', 'P_1', 'P_8', 'P_3', 'P_6']",0,0.4979,0.9979
13,Bin 14,5480.427116763082,"['P_4', 'P_5', 'P_1', 'P_2', 'P_7', 'P_10']",0,0.4978,0.9978
14,Bin 15,5477.02284407269,"['P_6', 'P_10', 'P_2', 'P_9', 'P_7', 'P_1']",0,0.4978,0.9978
15,Bin 16,5476.843130468979,"['P_1', 'P_5', 'P_4', 'P_8', 'P_3', 'P_2']",0,0.4979,0.9979
16,Bin 17,5476.426073728393,"['P_8', 'P_1', 'P_9', 'P_10', 'P_4', 'P_2']",0,0.4984,0.9984
17,Bin 18,5476.15768716491,"['P_5', 'P_4', 'P_9', 'P_10', 'P_1', 'P_2']",0,0.4982,0.9982
18,Bin 19,5476.034670339133,"['P_5', 'P_4', 'P_1', 'P_2', 'P_8', 'P_7']",0,0.4973,0.9973
19,Bin 20,5473.146824566303,"['P_10', 'P_5', 'P_3', 'P_1', 'P_2', 'P_9']",0,0.4981,0.9981
20,Bin 21,5471.076038557971,"['P_6', 'P_9', 'P_7', 'P_1', 'P_10', 'P_3']",0,0.4977,0.9977
21,Bin 22,5467.357102617565,"['P_2', 'P_1', 'P_9', 'P_4', 'P_5', 'P_6']",0,0.4978,0.9978
22,Bin 23,5464.324718740831,"['P_10', 'P_9', 'P_1', 'P_4', 'P_7', 'P_8']",0,0.4982,0.9982
23,Bin 24,5462.004530070819,"['P_6', 'P_2', 'P_4', 'P_9', 'P_3', 'P_8']",0,0.4984,0.9984
24,Bin 25,5461.6589376899165,"['P_8', 'P_2', 'P_9', 'P_1', 'P_4', 'P_7']",0,0.4981,0.9981
25,Bin 26,5461.268438377444,"['P_1', 'P_5', 'P_3', 'P_2', 'P_10', 'P_7']",0,0.4966,0.9966
26,Bin 27,5460.202532257352,"['P_5', 'P_4', 'P_3', 'P_9', 'P_6', 'P_1']",0,0.4978,0.9978
27,Bin 28,5458.339895311244,"['P_1', 'P_10', 'P_3', 'P_2', 'P_9', 'P_8']",0,0.497,0.997
28,Bin 29,5457.288650750926,"['P_6', 'P_10', 'P_2', 'P_9', 'P_5', 'P_4']",0,0.4972,0.9972
29,Bin 30,5456.432785639297,"['P_1', 'P_5', 'P_4', 'P_8', 'P_6', 'P_2']",0,0.4978,0.9978
30,Bin 31,5455.0864816180065,"['P_8', 'P_10', 'P_4', 'P_7', 'P_1', 'P_6']",0,0.4973,0.9973
31,Bin 32,5454.783154217742,"['P_1', 'P_4', 'P_6', 'P_9', 'P_10', 'P_3']",0,0.4972,0.9972
32,Bin 33,5454.447213709021,"['P_1', 'P_9', 'P_10', 'P_4', 'P_3', 'P_2']",0,0.4982,0.9982
33,Bin 34,5454.349552540919,"['P_6', 'P_4', 'P_8', 'P_1', 'P_10', 'P_2']",0,0.4974,0.9974
34,Bin 35,5450.338002368357,"['P_1', 'P_6', 'P_10', 'P_3', 'P_2', 'P_9']",0,0.498,0.998
35,Bin 36,5449.596436232618,"['P_8', 'P_1', 'P_10', 'P_4', 'P_2', 'P_7']",0,0.4976,0.9976
36,Bin 37,5448.617225320509,"['P_5', 'P_2', 'P_3', 'P_8', 'P_6', 'P_1']",0,0.4974,0.9974
37,Bin 38,5442.807653218906,"['P_6', 'P_3', 'P_4', 'P_10', 'P_1', 'P_2']",0,0.4969,0.9969
38,Bin 39,5440.181754054935,"['P_5', 'P_2', 'P_8', 'P_6', 'P_10', 'P_9']",0,0.4979,0.9979
39,Bin 40,5439.334093368921,"['P_5', 'P_4', 'P_3', 'P_2', 'P_9', 'P_6']",0,0.4975,0.9975
40,Bin 49,4330.516463563709,"['P_1', 'P_10', 'P_7']",0,0.4199,0.9199
41,Bin 50,4296.843161784843,"['P_2', 'R_38', 'P_4', 'P_3', 'P_8', 'P_1']",1,0.4261,0.9261
42,Bin 42,4105.72640989187,"['P_6', 'P_2', 'P_3']",0,0.4181,0.9181
43,Bin 47,2444.7741667531973,"['R_8', 'P_1', 'P_4', 'P_3']",1,0.2759,0.7759
44,Bin 46,1941.1630429580932,"['P_1', 'P_9', 'P_5', 'P_4', 'R_25', 'P_7']",2,0.2372,0.7372
45,Bin 44,1769.6185957943483,['P_2'],0,0.2018,0.7018
46,Bin 41,995.0241749494555,"['P_5', 'P_1', 'P_7', 'R_20', 'P_10', 'P_9']",0,0.7137,0.7729
47,Bin 45,964.4227882891563,"['P_10', 'R_42', 'P_2', 'P_3', 'P_4', 'P_8', 'P_1']",0,0.7223,0.7755
48,Bin 43,151.73549034499086,"['R_33', 'P_10']",0,0.5521,0.6137
49,Bin 48,0.0,"['P_8', 'P_6', 'P_4']",1,0.1686,0.6686
